Frame,Y1,Y2
200,4.65107,4.67314
201,4.66406,4.6857
202,4.67706,4.69787
203,4.69005,4.70963
204,4.70304,4.72101
205,4.71604,4.73198
206,4.72903,4.74257
207,4.74202,4.75276
208,4.75501,4.76256
209,4.76801,4.77198
210,4.781,4.781
211,4.25383,4.23929
212,3.72666,3.69992
213,3.1995,3.16276
214,2.67233,2.62767
215,2.14516,2.09451
216,1.61799,1.56313
217,1.09082,1.03341
218,0.563655,0.50519
219,0.0364871,-0.0216598
220,-0.490681,-0.547284
221,-1.01785,-1.07182
222,-1.54502,-1.59542
223,-2.07219,-2.11823
224,-2.59935,-2.64037
225,-3.12652,-3.16201
226,-3.65369,-3.68329
227,-4.18086,-4.20436
228,-4.70803,-4.72537
229,-5.23519,-5.24646
230,-5.76236,-5.7678
231,-6.28953,-6.28953
232,-6.02663,-6.03687
233,-5.76374,-5.78597
234,-5.50084,-5.53646
235,-5.23794,-5.28797
236,-4.97505,-5.04012
237,-4.71215,-4.79254
238,-4.44925,-4.54481
239,-4.18636,-4.29653
240,-3.92346,-4.04727
241,-3.66056,-3.79656
242,-3.39767,-3.54392
243,-3.13477,-3.28882
244,-2.87187,-3.03071
245,-2.60898,-2.76897
246,-2.34608,-2.50294
247,-2.08318,-2.23187
248,-1.82029,-1.95495
249,-1.55739,-1.67128
250,-1.29449,-1.37981
251,-1.0316,-1.07939
252,-0.768699,-0.768699
253,0.289496,-0.146275
254,1.34769,0.496309
255,2.40589,1.16098
256,3.46408,1.84988
257,4.52228,2.5654
258,5.58047,3.31019
259,6.63867,4.08724
260,7.69686,4.89991
261,8.75506,5.75198
262,9.81325,6.64773
263,10.8714,7.59201
264,11.9296,8.59037
265,12.9878,9.64914
266,14.046,10.7756
267,15.1042,11.978
268,16.1624,13.2662
269,17.2206,14.6511
270,18.2788,16.1459
271,19.337,17.7657
272,20.3952,19.528
273,21.4534,21.4534
274,22.3032,22.1452
275,23.1529,22.8493
276,24.0027,23.5662
277,24.8524,24.2964
278,25.7022,25.0403
279,26.5519,25.7985
280,27.4017,26.5714
281,28.2515,27.3598
282,29.1012,28.164
283,29.951,28.9848
284,30.8007,29.8228
285,31.6505,30.6786
286,32.5002,31.5528
287,33.35,32.4462
288,34.1998,33.3595
289,35.0495,34.2933
290,35.8993,35.2485
291,36.749,36.2258
292,37.5988,37.226
293,38.4485,38.2499
294,39.2983,39.2983
295,37.9642,36.0897
296,36.6302,33.315
297,35.2961,30.8952
298,33.9621,28.7675
299,32.628,26.8813
300,31.294,25.1965
301,29.9599,23.6806
302,28.6259,22.3075
303,27.2918,21.0559
304,25.9578,19.9082
305,24.6237,18.85
306,23.2897,17.8693
307,21.9556,16.9561
308,20.6216,16.1019
309,19.2875,15.2995
310,17.9535,14.5428
311,16.6194,13.8264
312,15.2854,13.146
313,13.9513,12.4976
314,12.6173,11.8776
315,11.2832,11.2832
316,11.0348,11.0031
317,10.7864,10.728
318,10.5381,10.4576
319,10.2897,10.1915
320,10.0413,9.9293
321,9.79291,9.67075
322,9.54452,9.41554
323,9.29614,9.16341
324,9.04776,8.9141
325,8.79938,8.66737
326,8.55099,8.423
327,8.30261,8.18077
328,8.05423,7.94048
329,7.80585,7.70195
330,7.55746,7.46499
331,7.30908,7.22943
332,7.0607,6.99511
333,6.81232,6.76187
334,6.56393,6.52957
335,6.31555,6.29804
336,6.06717,6.06717
337,5.62764,5.51442
338,5.18811,4.97952
339,4.74858,4.46109
340,4.30905,3.95788
341,3.86952,3.4687
342,3.42999,2.99246
343,2.99046,2.52816
344,2.55093,2.07484
345,2.1114,1.63161
346,1.67187,1.19766
347,1.23235,0.772188
348,0.792816,0.354465
349,0.353286,-0.0562134
350,-0.0862433,-0.460516
351,-0.525773,-0.85908
352,-0.965302,-1.25252
353,-1.40483,-1.64143
354,-1.84436,-2.02637
355,-2.28389,-2.40791
356,-2.72342,-2.78659
357,-3.16295,-3.16295
358,-3.33743,-3.31877
359,-3.51192,-3.47593
360,-3.6864,-3.63449
361,-3.86088,-3.79453
362,-4.03537,-3.95613
363,-4.20985,-4.11936
364,-4.38433,-4.28432
365,-4.55882,-4.45108
366,-4.7333,-4.61973
367,-4.90778,-4.79037
368,-5.08227,-4.96307
369,-5.25675,-5.13795
370,-5.43123,-5.3151
371,-5.60572,-5.49462
372,-5.7802,-5.67661
373,-5.95468,-5.8612
374,-6.12917,-6.04848
375,-6.30365,-6.23859
376,-6.47813,-6.43164
377,-6.65262,-6.62777
378,-6.8271,-6.8271
379,-6.74755,-6.77368
380,-6.668,-6.71796
381,-6.58845,-6.6599
382,-6.5089,-6.59945
383,-6.42935,-6.53658
384,-6.34981,-6.47123
385,-6.27026,-6.40336
386,-6.19071,-6.33293
387,-6.11116,-6.25987
388,-6.03161,-6.18413
389,-5.95206,-6.10567
390,-5.87251,-6.02441
391,-5.79296,-5.94031
392,-5.71341,-5.85329
393,-5.63386,-5.76329
394,-5.55432,-5.67023
395,-5.47477,-5.57406
396,-5.39522,-5.47469
397,-5.31567,-5.37204
398,-5.23612,-5.26603
399,-5.15657,-5.15657
400,-5.13886,-5.13905
401,-5.12114,-5.12152
402,-5.10343,-5.10396
403,-5.08571,-5.08638
404,-5.068,-5.06878
405,-5.05028,-5.05117
406,-5.03257,-5.03353
407,-5.01486,-5.01587
408,-4.99714,-4.99819
409,-4.97943,-4.98049
410,-4.96171,-4.96278
411,-4.944,-4.94504
412,-4.92628,-4.92729
413,-4.90857,-4.90951
414,-4.89086,-4.89172
415,-4.87314,-4.87391
416,-4.85543,-4.85608
417,-4.83771,-4.83823
418,-4.82,-4.82036
419,-4.80228,-4.80247
420,-4.78457,-4.78457
421,-5.2016,-5.32049
422,-5.61864,-5.83508
423,-6.03567,-6.33047
424,-6.45271,-6.80858
425,-6.86974,-7.27114
426,-7.28678,-7.71973
427,-7.70381,-8.15577
428,-8.12085,-8.58059
429,-8.53788,-8.99539
430,-8.95492,-9.4013
431,-9.37195,-9.79936
432,-9.78899,-10.1905
433,-10.206,-10.5758
434,-10.6231,-10.956
435,-11.0401,-11.3319
436,-11.4571,-11.7044
437,-11.8742,-12.0743
438,-12.2912,-12.4422
439,-12.7082,-12.8091
440,-13.1253,-13.1755
441,-13.5423,-13.5423
442,-13.5243,-13.5031
443,-13.5063,-13.4661
444,-13.4884,-13.4311
445,-13.4704,-13.3981
446,-13.4524,-13.3671
447,-13.4344,-13.3381
448,-13.4165,-13.3111
449,-13.3985,-13.286
450,-13.3805,-13.263
451,-13.3625,-13.2419
452,-13.3446,-13.2228
453,-13.3266,-13.2059
454,-13.3086,-13.1911
455,-13.2906,-13.1786
456,-13.2727,-13.1684
457,-13.2547,-13.1606
458,-13.2367,-13.1555
459,-13.2187,-13.1531
460,-13.2008,-13.1537
461,-13.1828,-13.1575
462,-13.1648,-13.1648
463,-12.6638,-12.8206
464,-12.1629,-12.4703
465,-11.6619,-12.1129
466,-11.1609,-11.7477
467,-10.66,-11.3738
468,-10.159,-10.9901
469,-9.65803,-10.5954
470,-9.15707,-10.1884
471,-8.6561,-9.7677
472,-8.15513,-9.33151
473,-7.65417,-8.87793
474,-7.1532,-8.40474
475,-6.65223,-7.90937
476,-6.15127,-7.38883
477,-5.6503,-6.83962
478,-5.14933,-6.25762
479,-4.64837,-5.63792
480,-4.1474,-4.97465
481,-3.64643,-4.26075
482,-3.14547,-3.48757
483,-2.6445,-2.6445
484,-10.4341,-2.73836
485,-18.2238,-2.85995
486,-26.0134,-3.01527
487,-33.8031,-3.21226
488,-41.5927,-3.4616
489,-49.3824,-3.77802
490,-57.172,-4.18236
491,-64.9616,-4.70518
492,-72.7513,-5.393
493,-80.5409,-6.32036
494,-88.3306,-7.61425
495,-96.1202,-9.50947
496,-103.91,-12.4906
497,-111.7,-17.7255
498,-119.489,-28.7355
499,-127.279,-58.7199
500,-135.068,-117.291
